"134","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 SALTON WARMSKINKBORDE",,,"1800",,,"CTYGER4401"
"135","2018-06-06","Tygerberg","9199","H Crous","allrisk","Epson L365 inkjet printer",,,"4500",,,"CTYGER4401"
"136","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","4 KANTOORSTOELE",,,"4500",,,"CTYGER4401"
"137","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","SUPERLITE 10-STEP LADDER",,,"900",,,"CTYGER4401"
"138","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","INDUSTRIELE STOFSUIER",,,"2900",,,"CTYGER4401"
"139","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","THERAPIST DE LUX MASSAGE BED",,,"1500",,,"CTYGER4401"
"140","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","HYDRO TENT",,,"1100",,,"CTYGER4401"
"141","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","BORRELBAD SPA & MASSEERBORD",,,"600",,,"CTYGER4401"
"142","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","TROJAN AEROBIC STEPP",,,"600",,,"CTYGER4401"
"143","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 X BMI DIGITALTE SKAAL:VENUS 7",,,"800",,,"CTYGER4401"
"144","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","2 X DIGITALE BLOEDDRUK-APPARATE",,,"1100",,,"CTYGER4401"
"145","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","KAMPTAFELS",,,"3900",,,"CTYGER4401"
"146","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","bldg","Church",,"1045000","220000",,,"CCAMBR1401"
"147","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Organ-Yamah Electone",,,"20000",,,"CCAMBR1401"
"148","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","CD Player-Sony cdp 790","303490",,"2500",,,"CCAMBR1401"
"149","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Public Address System-QTX Sound QP8200","ref.178.732",,"10000",,,"CCAMBR1401"
"150","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Public Address System -Ross pc 5100","88110067",,"10000",,,"CCAMBR1401"
"151","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Laptop Lenova GL550","CBO5482245",,"4500",,,"CCAMBR1401"
"152","2018-06-07","Cambridge","ELM05918","19 Dominion Street, Cambridge, East London,South Africa","allrisk","Video Projector- Optoma 5312","Q71A544AAAAACC0537",,"6000",,,"CCAMBR1401"
"866","2020-05-08","Progress","6763","91 Daffodil Str, Progress, Upington","bldg/cont","Main building and contents",,"1600000","100000",,,"CPROGR2401"
